"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Created by user","hs_marketing_email_created_by_id","number","Please use hs_created_by_user_id instead.","marketingemailinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","marketingemailinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Email name","hs_name","string","The name of the marketing email.","marketingemailinformation","false","","false","true","false","false","false","true","HubSpot","Object requirement (1); Report (1); Dataset (1); Sales view (12)","100%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","marketingemailinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","marketingemailinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","marketingemailinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","marketingemailinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","marketingemailinformation","false","","true","true","false","true","false","true","HubSpot","","98.11%","",""
"Marketing email ID","hs_origin_asset_id","number","The email's unique ID.","marketingemailinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Preview key","hs_preview_key","string","The preview key for the email","marketingemailinformation","false","","true","true","false","false","false","true","HubSpot","Dataset (1); Sales view (1)","100%","",""
"Publish/send date","hs_publish_date","datetime","This shows when regular emails were first sent, and when scheduled emails will be sent. For automated/blog/RSS/follow-up emails, it shows when the email was last published.","marketingemailinformation","false","","true","true","false","false","false","true","HubSpot","Report (1); Sales view (12)","67.92%","",""
"Publish status","hs_publish_status","enumeration","This shows if an email is published, scheduled or draft.","marketingemailinformation","false","Draft (DRAFT) [READ-ONLY]; Published (PUBLISHED) [READ-ONLY]; Scheduled (SCHEDULED) [READ-ONLY]","true","true","false","false","false","true","HubSpot","Sales view (5)","100%","",""
"Published at date","hs_published_at","datetime","This shows when someone clicked 'Send', 'Schedule' or 'Publish' after creating an email in the editor page.","marketingemailinformation","false","","true","true","false","false","false","true","HubSpot","","71.07%","",""
"Published by email","hs_published_by_email","string","The email address of the user who published the email.","marketingemailinformation","false","","true","true","false","false","false","true","HubSpot","","67.3%","",""
"Published by","hs_published_by_name","string","The user who published the email.","marketingemailinformation","false","","true","true","false","false","false","true","HubSpot","","68.55%","",""
"Send frequency","hs_rss_to_email_timing","string","The scheduled timing for sending blog/RSS emails (weekly, daily, monthly).","marketingemailinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Email state","hs_state","enumeration","The state of the Marketing Email.","marketingemailinformation","false","Automated (AUTOMATED) [READ-ONLY]; Automated AB Variant (AUTOMATED_AB_VARIANT) [READ-ONLY]; Automated Draft (AUTOMATED_DRAFT) [READ-ONLY]; Automated Draft AB (AUTOMATED_DRAFT_AB) [READ-ONLY]; Automated Draft AB Variant (AUTOMATED_DRAFT_ABVARIANT) [READ-ONLY]; Automated Loser AB Variant (AUTOMATED_LOSER_ABVARIANT) [READ-ONLY]; Automated Sending (AUTOMATED_SENDING) [READ-ONLY]; Automated for Form (AUTOMATED_FOR_FORM) [READ-ONLY]; Automated for Form Buffer (AUTOMATED_FOR_FORM_BUFFER) [READ-ONLY]; Automated for Form Draft (AUTOMATED_FOR_FORM_DRAFT) [READ-ONLY]; Automated for Form Legacy (AUTOMATED_FOR_FORM_LEGACY) [READ-ONLY]; Blog Email Draft (BLOG_EMAIL_DRAFT) [READ-ONLY]; Blog Email Published (BLOG_EMAIL_PUBLISHED) [READ-ONLY]; Draft (DRAFT) [READ-ONLY]; Draft AB (DRAFT_AB) [READ-ONLY]; Draft AB Variant (DRAFT_AB_VARIANT) [READ-ONLY]; Error (ERROR) [READ-ONLY]; Loser AB Variant (LOSER_AB_VARIANT) [READ-ONLY]; Pre Processing (PRE_PROCESSING) [READ-ONLY]; Processing (PROCESSING) [READ-ONLY]; Published AB (PUBLISHED_AB) [READ-ONLY]; Published AB Variant (PUBLISHED_AB_VARIANT) [READ-ONLY]; Published Automated AB (AUTOMATED_AB) [READ-ONLY]; Published or Scheduled (PUBLISHED_OR_SCHEDULED) [READ-ONLY]; RSS to Email Draft (RSS_TO_EMAIL_DRAFT) [READ-ONLY]; RSS to Email Scheduled (RSS_TO_EMAIL_PUBLISHED) [READ-ONLY]; Scheduled (SCHEDULED) [READ-ONLY]; Scheduled AB (SCHEDULED_AB) [READ-ONLY]; Scheduled or Published (SCHEDULED_OR_PUBLISHED) [READ-ONLY]; Sent (PUBLISHED) [READ-ONLY]","true","true","false","false","false","true","HubSpot","Sales view (11)","100%","",""
