"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Publish status","hs_publish_status","enumeration","This shows if an SMS is published, scheduled, or in draft.","marketing_sms_information","false","Draft (DRAFT) [READ-ONLY]; Scheduled (SCHEDULED) [READ-ONLY]; Published (PUBLISHED) [READ-ONLY]","true","true","false","false","false","true","HubSpot","Sales view (2)","100%","",""
"Published by email","hs_published_by_email","string","The email of the user who published the SMS.","marketing_sms_information","false","","true","true","false","false","false","true","HubSpot","","64.38%","",""
"Published By Name","hs_published_by_name","string","Specifies the name of the person who published the SMS.","marketing_sms_information","false","","true","true","false","false","false","true","HubSpot","","64.38%","",""
"Sent","hs_sends","number","The number of SMS messages sent.","marketing_sms_information","false","","true","true","true","false","false","true","HubSpot","Sales view (2)","64.38%","",""
"Sending method","hs_sms_type","enumeration","Specifies the sending method of a SMS message.","marketing_sms_information","false","Regular (BATCH); Regular A/B (BATCH_AB); Time zone (LOCALTIME); Automated (AUTOMATED); Automated A/B (AUTOMATED_AB)","true","true","false","false","false","true","HubSpot","","100%","",""
"Marketing SMS State","hs_state","enumeration","State of the Marketing SMS.","marketing_sms_information","false","Draft (DRAFT) [READ-ONLY]; Scheduled (SCHEDULED) [READ-ONLY]; Pre-Processing (PRE_PROCESSING) [READ-ONLY]; Processing (PROCESSING) [READ-ONLY]; Sent (SENT) [READ-ONLY]; Automated Draft (AUTOMATED_DRAFT); Published Automated (AUTOMATED); Error (ERROR)","true","true","false","false","false","true","HubSpot","","100%","",""
"Subcategory","hs_subcategory","enumeration","The subcategory of the marketing SMS.","marketing_sms_information","false","Batch (batch); Localtime (localtime); AB Master (ab_master); AB Variant (ab_variant); AB Loser Variant (ab_loser_variant); Automated (automated); Automated AB Master (automated_ab_master); Automated AB Variant (automated_ab_variant); Automated AB Loser Variant (automated_ab_loser_variant)","true","true","false","false","false","true","HubSpot","","100%","",""
"Total clicks","hs_total_clicks","number","The number of times a link in the SMS got clicked.","marketing_sms_information","false","","true","true","true","false","false","true","HubSpot","","24.66%","",""
"Unique clicks","hs_unique_clicks","number","The number of recipients who clicked a link in the SMS.","marketing_sms_information","false","","true","true","true","false","false","true","HubSpot","Sales view (2)","24.66%","",""
"Updated date","hs_updated_at","datetime","The date and time at which the SMS was last updated.","marketing_sms_information","false","","true","true","false","false","false","true","HubSpot","Sales view (1)","100%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","marketing_sms_information","false","","true","true","false","true","false","true","HubSpot","","100%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","marketing_sms_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","marketing_sms_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Owner's main team","hubspot_team_id","enumeration","The main team of the record owner. This value is set automatically by HubSpot.","marketing_sms_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Talking Points","talking_points","enumeration","","marketing_sms_information","true","America Prays 250; NRB 2026; PRAY Science (Pray Science)","false","false","false","false","false","false","Nay Luchetti","","0%","",""
