"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","lineiteminformation","false","","true","true","false","false","false","true","HubSpot","Dataset (1)","0%","",""
"External line item id","hs_external_id","number","The ID of a line item","lineiteminformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Image URL","hs_images","string","Product images.","lineiteminformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Last Modified Date","hs_lastmodifieddate","datetime","The date any property on this product was modified","lineiteminformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Currency","hs_line_item_currency_code","enumeration","Currency code for the line item.","lineiteminformation","false","","false","true","false","true","false","true","HubSpot","","95.47%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","lineiteminformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","lineiteminformation","false","","true","true","false","false","false","true","HubSpot","Rollup property (1); Dataset (5)","100%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","lineiteminformation","false","","true","true","false","false","false","true","HubSpot","","5.92%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","lineiteminformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","lineiteminformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","lineiteminformation","false","","true","true","false","true","false","true","HubSpot","","100%","",""
"Product type","hs_product_type","enumeration","The type of product. By default, categorize your product as either Inventory, Non-Inventory or Service.","lineiteminformation","false","Inventory (inventory); Non-Inventory (non_inventory); Service (service)","false","true","false","false","false","true","HubSpot","Dataset (4)","94.43%","",""
"SKU","hs_sku","string","Unique product identifier","lineiteminformation","false","","false","true","false","false","false","true","HubSpot","Report (1); Dataset (6)","100%","",""
"Tax category","hs_tax_category","enumeration","The tax category used to determine what amount of tax to automatically apply to this line item","lineiteminformation","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","lineiteminformation","false","","true","true","false","true","false","true","HubSpot","","93.73%","",""
"URL","hs_url","string","Product url.","lineiteminformation","false","","false","true","false","false","false","true","HubSpot","Dataset (1)","0%","",""
"Variant id of the product","hs_variant_id","number","Variant id of the shopify product","lineiteminformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","lineiteminformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","lineiteminformation","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Owner's main team","hubspot_team_id","enumeration","The main team of the record owner. This value is set automatically by HubSpot.","lineiteminformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Line Item Service Status","line_item_service_status","enumeration","","lineiteminformation","true","Active; Inactive","false","false","false","false","false","false","Nay Luchetti","","27.18%","",""
"Name","name","string","Product name","lineiteminformation","false","","false","true","false","false","false","true","HubSpot","Rollup property (2); Inbounddb lists (2); Automation platform flow (2); Report (5); Dataset (6)","100%","",""
